City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,caravelas,-17.7125,-39.2481,22.42,86,100,2.31,BR,1670279703
143,lorengau,-2.0226,147.2712,27.11,82,100,2.02,PG,1670279704
144,georgetown,5.4112,100.3354,27.35,92,20,1.54,MY,1670279706
145,registro,-24.4875,-47.8436,22.9,95,100,0.68,BR,1670279707
146,bridlington,54.0831,-0.1919,6.12,79,95,4.02,GB,1670279708
147,magadan,59.5667,150.8,-23.02,86,33,3.05,RU,1670279709
148,tura,25.5198,90.2201,15.16,85,0,1.68,IN,1670279710
149,hami,42.8,93.45,-5.66,40,100,1.56,CN,1670279712
150,kodiak,57.79,-152.4072,4.73,87,0,4.12,US,1670279713
151,atuona,-9.8,-139.0333,25.3,74,92,6.54,PF,1670279714
152,kieta,-6.2167,155.6333,28.09,75,94,1.86,PG,1670279715
153,point pleasant,40.0832,-74.0682,6.68,71,0,0.0,US,1670279716
154,klyuchi,52.2667,79.1667,-21.19,99,88,2.03,RU,1670279717
155,aitape,-3.1374,142.3475,24.6,92,100,4.04,PG,1670279719
156,sakaiminato,35.55,133.2333,6.99,76,75,3.09,JP,1670279720
157,maposeni,-10.5833,35.4,19.15,55,32,1.17,TZ,1670279720
158,hilo,19.7297,-155.09,27.38,77,100,4.12,US,1670279721
159,davila,18.4726,120.5763,25.99,83,73,11.16,PH,1670279722
160,santa cruz de la palma,28.6835,-17.7642,21.08,73,100,2.57,ES,1670279442
161,bulgan,48.8125,103.5347,-21.27,80,1,1.87,MN,1670279724
162,vanimo,-2.6741,141.3028,26.74,85,99,1.2,PG,1670279725
163,saint-philippe,-21.3585,55.7679,22.77,83,94,4.58,RE,1670279726
164,khakurinokhabl,45.0201,40.2291,-2.54,72,8,7.89,RU,1670279727
165,burns lake,54.2331,-125.7533,-11.32,90,63,1.42,CA,1670279728
166,touros,-5.1989,-35.4608,26.25,76,15,5.71,BR,1670279729
167,kavaratti,10.5669,72.642,27.23,73,52,0.73,IN,1670279729
168,pahalgam,34.0333,75.3333,-1.29,51,100,3.39,IN,1670279730
169,tjome,59.1109,10.3933,-4.05,93,0,2.57,NO,1670279730
170,palmer,42.1584,-72.3287,5.69,66,75,1.54,US,1670279519
171,bengkulu,-3.8004,102.2655,23.42,90,100,1.31,ID,1670279731
172,chokwe,-24.5333,32.9833,23.26,85,100,3.56,MZ,1670279731
173,vaini,-21.2,-175.2,28.09,83,75,5.14,TO,1670279732
174,faanui,-16.4833,-151.75,26.44,77,81,7.72,PF,1670279732
175,pisco,-13.7,-76.2167,22.03,68,0,3.6,PE,1670279733
